Inputs,,,,,,,Inputs,Original values,10% increase,,Inputs,Absolute impact of 10% change (based on rate of return)
Age,46,,,Amount she needs in savings after she retires," $500,000 ",,Current salary," $145,000 "," $159,500 ",,Retirement fund current value (before she turns 46),0.37%
Current salary," $145,000 ",,,Amount that she has when she retires," $621,908 ",,Employer contribution,5%,5.50%,,Susan's contribution,0.20%
Employer contribution,5.00%,,,Rate of return,6.68%,,Susan's contribution," $11,500 "," $12,650 ",,Current salary,0.20%
Susan's contribution," $11,500 ",,,Difference," $121,908 ",,Retirement fund current value (before she turns 46)," $182,000 "," $200,200 ",,Employer contribution,0.20%
Retirement fund current value," $182,000 ",,,,,,Salary increase/decrease,5%,5.50%,,Salary increase/decrease,0.10%
Life expectancy,30,,,,,,,,,,,
Retirement age,65,,,,,,,Inputs,Absolute impact of 10% change (based on ending fund balance),,,
Time span,19,,,,,,,Current salary," $22,141 ",,,
Salary increase/decrease,5.00%,,,,,,,Employer contribution," $22,141 ",,,
Withdrawal rate,4%,,,,,,,Susan's contribution," $21,850 ",,,
Withdrawal per year after retiring," $20,000 ",,,,,,,Retirement fund current value," $18,200 ",,,
,,,,,,,,Salary increase/decrease," $11,336 ",,,
,,,,,,,,,,,,
,,,,,,,,Baseline ending balance," $621,908 ",,,
,,,,,,,,Change in ending balance, $(0),,,
,,,,,,,,,,,,
,,,,,,,,Baseline ending balance,6.68%,,,
Model,,,,,,,,Change in ending balance,0.00%,,,
Year,Salary (before taxes),Employer contribution,Susan's contribution,Total investment amount,Ending fund balance,Annual rate of return,Add 1 ,,,,,
1," $145,000 "," $7,250 "," $11,500 "," $18,750 "," $200,750 ",10%,1.10,,,,,
2," $152,250 "," $7,613 "," $11,500 "," $19,113 "," $219,863 ",10%,1.10,,,,,
3," $159,863 "," $7,993 "," $11,500 "," $19,493 "," $239,356 ",9%,1.09,,,,,
4," $167,856 "," $8,393 "," $11,500 "," $19,893 "," $259,248 ",8%,1.08,,,,,
5," $176,248 "," $8,812 "," $11,500 "," $20,312 "," $279,561 ",8%,1.08,,,,,
6," $185,061 "," $9,253 "," $11,500 "," $20,753 "," $300,314 ",7%,1.07,,,,,
7," $194,314 "," $9,716 "," $11,500 "," $21,216 "," $321,530 ",7%,1.07,,,,,
8," $204,030 "," $10,201 "," $11,500 "," $21,701 "," $343,231 ",7%,1.07,,,,,
9," $214,231 "," $10,712 "," $11,500 "," $22,212 "," $365,443 ",6%,1.06,,,,,
10," $224,943 "," $11,247 "," $11,500 "," $22,747 "," $388,190 ",6%,1.06,,,,,
11," $236,190 "," $11,809 "," $11,500 "," $23,309 "," $411,499 ",6%,1.06,,,,,
12," $247,999 "," $12,400 "," $11,500 "," $23,900 "," $435,399 ",6%,1.06,,,,,
13," $260,399 "," $13,020 "," $11,500 "," $24,520 "," $459,919 ",6%,1.06,,,,,
14," $273,419 "," $13,671 "," $11,500 "," $25,171 "," $485,090 ",5%,1.05,,,,,
15," $287,090 "," $14,355 "," $11,500 "," $25,855 "," $510,945 ",5%,1.05,,,,,
16," $301,445 "," $15,072 "," $11,500 "," $26,572 "," $537,517 ",5%,1.05,,,,,
17," $316,517 "," $15,826 "," $11,500 "," $27,326 "," $564,843 ",5%,1.05,,,,,
18," $332,343 "," $16,617 "," $11,500 "," $28,117 "," $592,960 ",5%,1.05,,,,,
19," $348,960 "," $17,448 "," $11,500 "," $28,948 "," $621,908 ",5%,1.05,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Time-weighted return,242%,,,,,
,,,,,,Annualized return (based on TWR),6.68%,,,,,
,,,,,,Annualized return (CAGR),6.68%,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
References: ,,,,,,,,,,,,
https://www.fool.com/about/how-to-calculate-investment-returns/,,,,,,,,,,,,
https://www.wallstreetmojo.com/cagr-formula/,,,,,,,,,,,,
https://www.thebalance.com/retirement-savings-benchmarks-4150169,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
